id,open_date,name,location,lat,lon,threat,commodity,max_ptl_release_gallons,description,year,month,commodity_key_tokens,description_key_tokens
10049,2020-02-27,Partially Submerged Recreational Vessel Huron Harbor Marina,"Huron, OH",41.391532,-82.554591,Oil,,,"On February 27, 2020, SSC received notification about a partially submerged white 34' recreational vessel at the Huron Harbor North Marina in Huron, Ohio. There is a light rainbow sheen around the vessel which has been contained with boom placed by the marina. No products requested.",2020,2,,"[('February 27, 2020', 'DATE'), ('34', 'CARDINAL'), ('the Huron Harbor North Marina', 'FAC'), ('Huron', 'GPE'), ('Ohio', 'GPE'), ('marina', 'LOC')]"
10050,2020-02-27,Whitney Tank Battery 160 Loomis Pass Spill,"Venice, LA, USA",29.116625,-89.18091667,Oil,,,"On February 27, 2020, the USCG Sector New Orleans received a report of a discharge of crude oil from a flow line at the Whitney Garden Island Bay Field; Tank Battery 160 Facility, located near Loomis Pass, in the Pass A Loutre State Wildlife Management.  Discharge is secure. Initial estimates are between 5 and 30bbl. USCG requested fate/trajectory and resources at risk.",2020,2,,"[('February 27, 2020', 'DATE'), ('the USCG Sector New Orleans', 'ORG'), ('the Whitney Garden Island Bay Field', 'FAC'), ('160', 'CARDINAL'), ('Loomis Pass', 'FAC'), ('the Pass A Loutre State Wildlife Management', 'WORK_OF_ART'), ('Discharge', 'PRODUCT'), ('5', 'CARDINAL'), ('USCG', 'ORG')]"
10048,2020-02-24,Gray whale carcass,"Port Hueneme, CA",34.14974372,-119.20822620000001,Other,,,"On 24-FEB-2020, NMFS Stranding Coordinator in CA contacted the NOAA SSC regarding a 15??gray whale carcass at Port Hueneme, CA.  No field necropsy is anticipated, so the carcass may be towed offshore late in the day.  NMFS requested a carcass drift estimate to aid in determining how far offshore to tow the carcass so it does not re-beach in the upcoming days.",2020,2,,"[('24-FEB-2020', 'CARDINAL'), ('NMFS Stranding Coordinator', 'PERSON'), ('CA', 'ORG'), ('NOAA', 'ORG'), ('Port Hueneme', 'FAC'), ('CA', 'GPE'), ('late in the day', 'TIME'), ('NMFS', 'ORG'), ('the upcoming days', 'DATE')]"
10047,2020-02-20,Recreational vessel sunk in Anacortes Skyline Marina,"2400 Skyline Way, Anacortes, WA 98221, USA",48.49255855,-122.6803676,Oil,,,"On February 20, 2020, the SEA WOLF, a 44 foot recreational vessel sank while moored at the Skyline Marina (2400 Skyline Way, Anacortes, WA 98221). Potential of up to 300 gallons of diesel aboard.",2020,2,,"[('February 20, 2020', 'DATE'), ('44 foot', 'QUANTITY'), ('the Skyline Marina', 'FAC'), ('2400', 'CARDINAL'), ('Skyline Way', 'GPE'), ('Anacortes', 'ORG'), ('WA', 'ORG'), ('up to 300 gallons', 'QUANTITY')]"
10046,2020-02-17,North Santiam River - Truck Spill,"N Santiam Hwy, Detroit, OR 97342, USA",44.696999999999996,-122.22689,Oil,,,"On the morning of 16 FEB 2020 along the  Santiam River, a single vehicle crash involving an overturned double fuel tanker occurred releasing approximately 10,000 gallons of gasoline and diesel onto the bank of the Santiam River near mile marker 63. By the end of the day fuel was seen in the river. The EPA FOSC has requested an ESA emergency consultation. The National Marine Fisheries Service (NMFS) has been contacted. Consultation is ongoing.",2020,2,,"[('the morning', 'TIME'), ('Santiam River', 'LOC'), ('approximately 10,000 gallons', 'QUANTITY'), ('the bank of the Santiam River', 'ORG'), ('63', 'CARDINAL'), ('the end of the day', 'DATE'), ('EPA', 'ORG'), ('The National Marine Fisheries Service', 'ORG'), ('NMFS', 'ORG')]"
10045,2020-11-02,Mystery Red Dyed Diesel Spill Venice Marina,"Venice, LA, USA",29.2401303,-89.3645153,Oil,,,"On February 11, 2020, the USCG was notified of a red dyed diesel mystery spill at the Venice Marina, Venice LA. An area of water less than 50x50ft between boat slips contains red dyed diesel and white foam. Quantity unknown. USCG is onsite collecting information and attempting to identify the responsible party. Three dead pelicans found on-site.  NOAA SSC providing phone support. On-scene support is possible.",2020,11,,"[('February 11, 2020', 'DATE'), ('USCG', 'ORG'), ('Venice', 'GPE'), ('Marina', 'LOC'), ('Venice', 'GPE'), ('USCG', 'ORG'), ('Three', 'CARDINAL')]"
10044,2020-07-02,Diesel Spill - Unknown Source,"Port Orchard, WA. USA",47.54195085,-122.6411712,Oil,,,"On February 07, 2020 - Washington State Department of Ecology, USCG Sector Puget Sound, Washington State Department of Fish and Wildlife, and the City of Port Orchard are on-scene investigating the source of a diesel spill in Yachtfish Marina, Sinclair Inlet, Port Orchard. No impacts to fish or wildlife have been reported and NOAA support is not requested at this time. This is a notification only.",2020,7,,"[('February 07', 'DATE'), ('2020', 'CARDINAL'), ('Washington State Department of Fish and', 'ORG'), ('the City of Port Orchard', 'GPE'), ('Yachtfish Marina', 'LOC'), ('Sinclair Inlet', 'GPE'), ('Port Orchard', 'FAC')]"
10041,2020-07-02,"Fishing Vessel Aground on Shackleford Banks, NC","Harkers Island, NC, USA",34.65218888,-76.62304698,Oil,Diesel Fuel,10000.0,,2020,7,[],
10043,2020-07-02,Lost dredge Hose,Atlantic Ocean,29.61666667,-80.71666667,Other,,,"On February 7, 2020, the NOAA SSC was notified of a lost 2000??length x 36??diameter floating rubber hose that is used to attach to a dredge and pump sand through.  The hose came unattached from the towing vessel M/V TRIDENT sometime on the morning of February 6, 2020,  roughly 28 miles NNE of Daytona Beach, FL. ERD was requested to run a drift study on the estimated position and direction of drift of the rubber hose",2020,7,,"[('February 7, 2020', 'DATE'), ('2000??length', 'CARDINAL'), ('36??diameter', 'CARDINAL'), ('the morning of February 6, 2020', 'TIME'), ('roughly 28 miles', 'QUANTITY'), ('Daytona Beach', 'GPE'), ('FL', 'GPE')]"
10040,2020-06-02,Gaubert Oil Diesel Spill,"ICW, Houma, LA, USA",29.598269000000002,-90.663037,Oil,,,"On February 6, 2020, a broken valve at a fueling facility located along the Houma ICW at mm52 resulted in the discharge of several hundred gallons of red dye diesel into the ICW.  Local winds pushed the diesel against the bank and into a boat slip. Boom applied and cleanup in progress.",2020,6,,"[('February 6, 2020', 'DATE'), ('ICW', 'ORG'), ('mm52', 'PRODUCT'), ('several hundred gallons', 'QUANTITY'), ('ICW', 'ORG')]"
